Frequency_Hz,Average_PSD_V2_per_Hz,Average_ASD_V_per_rtHz
2580.3183101847,2.601551092785e-11,5.10054025842851e-06
2733.75202134023,3.40205593621781e-11,5.83271457917993e-06
2896.3093757401,3.19507927568219e-11,5.6525032292624e-06
3068.53289344344,3.30107974944485e-11,5.7455023709375e-06
3250.99735443087,2.54082681571363e-11,5.04066148011709e-06
3444.31171687922,2.52897903218515e-11,5.02889553697942e-06
3649.12114950283,2.51398584898258e-11,5.0139663431086e-06
3866.10918474421,2.51475667969038e-11,5.01473496776289e-06
4096,2.48311674658582e-11,4.98308814550357e-06
4339.56083449568,2.47464628122952e-11,4.97458167209014e-06
4597.60454987519,2.4741140700484e-11,4.97404671273642e-06
4870.99234305115,2.4452654104479e-11,4.94496249778287e-06
5160.6366203694,2.42269570571157e-11,4.92208868846507e-06
5467.50404268046,2.38207764336272e-11,4.8806532793907e-06
5792.6187514802,2.35617889431206e-11,4.85404871659943e-06
6137.06578688689,2.34860206291939e-11,4.84623778091768e-06
6501.99470886174,2.32833572649837e-11,4.82528312796086e-06
6888.62343375843,2.2809915960239e-11,4.77597277632935e-06
7298.24229900566,2.24801039198765e-11,4.74131879542775e-06
7732.21836948843,2.21204579924901e-11,4.70323909582429e-06
8192,2.19075121669513e-11,4.68054613981652e-06
8679.12166899135,2.13863276888664e-11,4.62453540248817e-06
9195.20909975038,2.08470209425815e-11,4.56585380214714e-06
9741.98468610229,2.05518376220129e-11,4.53341346250405e-06
10321.2732407388,1.98739640505288e-11,4.45802243719441e-06
10935.0080853609,1.93665924617251e-11,4.40074907961419e-06
11585.2375029604,1.87773522664937e-11,4.33328423559933e-06
12274.1315737738,1.840636012643e-11,4.29026340991202e-06
13003.9894177235,1.77375399147276e-11,4.21159588692073e-06
13777.2468675169,1.7151375582518e-11,4.14142192761351e-06
14596.4845980113,1.65265142108165e-11,4.06528156599472e-06
15464.4367389769,1.60387205236003e-11,4.00483714070876e-06
16384,1.56730153458927e-11,3.95891593064221e-06
17358.2433379827,1.51710487720537e-11,3.89500305161032e-06
18390.4181995008,1.46896017216246e-11,3.83270162178385e-06
19483.9693722046,1.68273140576962e-11,4.10211092703454e-06
20642.5464814776,1.39059740413646e-11,3.72907147174261e-06
