Frequency_Hz,Deduplicated_PSD_V2_per_Hz,Deduplicated_ASD_V_per_rtHz
181.019335983756,2.61544033827691e-11,5.11413759912355e-06
191.783305840215,2.57037414309625e-11,5.069885741411e-06
203.18733465193,2.60634431536582e-11,5.10523683619655e-06
215.269482304951,2.6844840063015e-11,5.18120063913906e-06
228.070071843927,2.62484350374289e-11,5.12332265599473e-06
241.631824046514,2.57440185859018e-11,5.07385638207289e-06
256,2.7892254052149e-11,5.28131177380667e-06
271.22255215598,2.64606253705837e-11,5.14398924674067e-06
287.350284367199,2.64090152511908e-11,5.13897025202431e-06
304.437021440697,2.69292226975163e-11,5.18933740447817e-06
322.539788773088,2.61284440513154e-11,5.11159897207472e-06
341.719002667529,2.80794078856145e-11,5.29900064970882e-06
362.038671967512,2.66710741768989e-11,5.16440453265417e-06
383.566611680431,2.65942702210063e-11,5.15696327512678e-06
406.374669303859,2.61396743045011e-11,5.11269736093396e-06
430.538964609902,2.59055137127511e-11,5.08974593793748e-06
456.140143687854,2.75572544978574e-11,5.24950040459636e-06
483.263648093027,2.58607159879242e-11,5.08534325173083e-06
512,2.60096961472731e-11,5.09997021042997e-06
542.445104311959,2.66027871022466e-11,5.15778897418715e-06
574.700568734399,2.61550286531572e-11,5.11419873031516e-06
608.874042881393,2.61579998877462e-11,5.11448921083486e-06
645.079577546175,2.70693345429724e-11,5.20281986455156e-06
683.438005335057,2.59342681826801e-11,5.09256989963615e-06
724.077343935025,2.63238687946611e-11,5.13067917479363e-06
767.133223360861,2.65847459890016e-11,5.15603975828364e-06
812.749338607718,2.63428064469247e-11,5.13252437372923e-06
861.077929219804,2.75130967816926e-11,5.24529282134873e-06
912.280287375708,2.64062623605331e-11,5.13870240046386e-06
966.527296186054,2.69546501201792e-11,5.19178679456111e-06
1024,2.68987495162482e-11,5.18640043924957e-06
1084.89020862392,2.62739455025372e-11,5.12581169206763e-06
1149.4011374688,2.78647461518437e-11,5.27870686360246e-06
1217.74808576279,2.66679633037263e-11,5.16410333976057e-06
1290.15915509235,2.61322780849076e-11,5.11197399102417e-06
1366.87601067011,2.63203315241686e-11,5.13033444564471e-06
1448.15468787005,2.64723717975669e-11,5.14513088245255e-06
1534.26644672172,2.65725766628069e-11,5.15485951921165e-06
1625.49867721544,2.61284696776519e-11,5.11160147875907e-06
1722.15585843961,2.63736732711785e-11,5.13553047612206e-06
1824.56057475142,2.63141355283398e-11,5.12973055124144e-06
1933.05459237211,2.6001284580442e-11,5.09914547551274e-06
2048,2.59755327709593e-11,5.09661973968622e-06
